ID,Gender,Midterm1,Midterm2,Quizes,Final
20133844,m,26,30,8.2,55
20140133,f,13.5,22,6.7,45.5
20141262,m,17.5,25.5,8.3,37
20142821,m,18,29,6.4,27.5
20146887,f,22.5,19.5,7.8,40
20146976,m,12,15.5,5.3,36
20150847,m,19.5,,2.2,0
20151569,m,15.5,17,7.9,40.5
20151956,m,27,26,9.4,53.5
20152912,m,0,,0,0
20155148,f,19.5,19,7.2,46.5
20156097,m,17.5,19,6.7,56
20156525,m,21,31.5,9.4,46
20157292,m,15.5,19,7.2,47.5
20158316,f,16,22.5,9.9,38.5
20160156,m,21,26,4,45
20160409,m,34,29,9.5,56.5
20160521,m,13.5,27,6.5,39
20161403,f,22,26.5,9.4,65.5
20161649,m,17.5,19.5,9.4,39
20162315,m,19,28,8.8,30
20162347,m,29.5,32,9.2,54.5
20162455,f,27.5,27.5,9.6,53.5
20162850,m,23.5,19.5,7.6,46
20162965,m,13.5,,4.4,0
20163208,f,28.5,31.5,9.6,65.5
20163287,m,16,11.5,8.9,0
20163438,m,15.5,18,8.3,0
20163464,m,28.5,31,8.6,59.5
20163607,f,22.5,20.5,9,0
20164057,m,33.5,32,10,65.5
20164096,f,21,23,9.8,55.5
20164482,m,28.5,27.5,9.2,61.5
20164738,f,26,31.5,9.5,68.5
20164816,f,23,25,6.7,52
20164838,m,19.5,28.5,8.2,63.5
20164925,f,25,31.5,9.8,65
20164931,m,23,24,8.7,53
20165409,f,21.5,30,9.2,53
20166155,f,24,27.5,9.3,57
20166922,m,27,26.5,8.1,46.5
20167456,m,26.5,31.5,8.9,63.5
20167516,f,27,32.5,10,54
20167695,f,29.5,29.5,8.1,55
20167914,m,26,31.5,9.6,51
20168013,f,23,28.5,9.8,65.5
20093147,f,0,,,0
20093818,f,27,25.5,10,0
20112218,m,14,25,6,19
20093787,f,16.5,19,5.7,28
20102774,m,17,15.5,6.2,28.5
20110268,f,13.5,19.5,9.1,29
20113756,f,12,16.5,9.5,34
20090553,f,13,21.5,7.1,25.5
20124672,m,13.5,25,7.4,32.5
20103135,m,14,22,5.9,36
20090979,f,14.75,21.5,9.8,29.5
20062660,f,18.75,20,5.5,37.5
20090256,f,14.5,27.5,9.2,38
20124216,m,18.5,26.5,6.7,45.5
20113421,m,13.5,24.5,9.7,39.5
20113214,m,23.5,18,9.7,35
20095363,f,13,22,9.7,48
20110197,m,21.5,21.5,9.3,39
20091787,f,17.5,22,9.9,45
20090218,f,20,26.5,10,40.5
20115136,m,19,26,7.4,51.5
20124193,m,16.5,26.5,10,52.5
20110281,f,17,28.5,9.9,52
20112622,f,20.5,20,9.3,58
20091581,m,19.5,27.5,8.9,54
20114796,f,23,33,7.7,50
20083978,m,24.5,28.5,8.2,57
20122507,m,19.5,30,10,55.5
20112775,f,25.5,29,9.8,58
20093585,f,25,27.5,10,58.5
20125840,f,26.5,29.5,9.8,61.5
20113010,m,27,33,10,52.5
20113178,m,31,32,9.6,54
20124209,f,31,29.5,10,62.5
